ID_Equipos;Nombre_Equipo
1;Team Heretics
2;GIANTX
3;G2 Esports
4;MIBR
5;DRX
6;FNATIC
7;Paper Rex
8;Mega Minors
9;Sentinels
10;Xi Lai Gaming
11;Bilibili Gaming
12;Rex Regum Qeon
13;Team Liquid
14;EDward Gaming
15;Dragon Ranger Gaming
16;T1
17;BBL Esports
18;Natus Vincere
19;Karmine Corp
20;Team Vitality
21;Gentle Mates
22;KOI
23;FUT Esports
24;Apeks
25;LEVIATÃN
26;100 Thieves
27;Cloud9
28;Evil Geniuses
29;KRÃœ Esports
30;2Game Esports
31;FURIA
32;LOUD
33;Nongshim RedForce
34;TALON
35;Gen.G
36;DetonatioN FocusMe
37;Global Esports
38;Team Secret
39;ZETA DIVISION
40;BOOM Esports
41;Wolves Esports
42;Trace Esports
