ID_Rendimiento;ID_Agente
1;1
2;1
108;1
2;2
3;3
4;3
9;3
10;3
112;3
114;3
4;4
10;4
113;4
114;4
5;5
11;5
110;5
111;5
6;6
7;7
8;8
109;8
111;8
91;8
92;8
107;21
108;21
111;20
92;20
133;21
134;21
134;1
141;3
142;3
142;4
135;9
136;18
137;7
138;9
138;18
138;7
139;5
140;8
140;20
140;5
157;8
158;8
158;6
175;8
176;3
177;3
177;4
201;22
202;22
202;4
12;9
12;5
13;4
14;10
15;4
15;10
102;10
16;7
17;11
18;11
18;5
230;5
231;11
231;5
231;7
246;11
19;12
20;13
20;12
244;12
245;18
245;12
21;4
41;4
221;4
228;4
229;3
229;4
22;6
23;8
23;6
125;8
126;8
126;5
126;6
152;8
153;6
154;8
154;5
154;6
24;3
25;4
26;3
26;4
127;4
128;3
128;4
27;1
103;21
104;1
105;21
105;1
123;21
124;21
124;1
28;4
29;3
29;4
42;3
43;4
44;3
44;4
77;3
78;3
78;4
150;3
151;3
151;4
211;4
30;14
31;14
31;15
75;13
76;8
76;14
76;13
76;15
76;6
32;16
33;16
33;7
47;7
48;16
48;7
79;7
80;16
80;12
80;7
34;4
35;3
35;4
117;4
118;3
118;4
36;1
115;1
116;21
116;1
143;1
163;1
164;21
164;1
181;1
37;6
52;5
53;6
54;5
54;6
121;6
122;5
122;6
165;15
166;15
166;5
182;15
183;6
184;15
184;6
38;7
55;7
167;4
168;7
169;4
169;7
185;7
186;4
186;7
39;5
40;14
40;5
58;14
59;5
60;14
60;5
60;6
70;6
84;8
85;5
86;8
86;5
86;6
45;14
46;14
46;10
49;5
73;6
74;19
74;8
74;5
74;6
148;5
149;19
149;5
224;5
225;19
225;5
50;16
51;1
51;16
119;16
120;16
120;15
144;16
145;16
145;15
56;1
57;17
57;1
57;5
64;1
65;17
65;1
87;1
88;17
88;1
61;7
62;13
62;12
62;7
66;18
67;18
67;7
63;4
89;6
90;4
90;6
68;11
69;11
69;1
81;19
82;11
83;19
83;3
83;11
83;1
71;1
72;2
72;1
146;2
147;2
147;1
209;2
210;2
210;1
222;2
223;2
223;1
93;18
94;18
94;16
178;13
179;18
179;13
179;16
203;16
204;18
204;16
95;5
96;11
96;5
155;19
156;19
156;5
205;5
206;11
206;5
97;2
98;1
99;2
99;21
99;1
100;3
101;3
101;4
106;12
129;7
130;13
130;7
131;1
132;21
132;1
242;2
243;2
243;1
159;1
180;1
199;2
200;2
200;1
160;3
161;3
161;4
193;3
194;3
194;1
194;4
162;13
195;13
196;18
196;13
196;16
170;21
171;4
172;21
172;4
173;16
174;16
174;7
187;8
188;8
188;1
188;5
207;5
208;8
208;5
189;20
190;20
190;18
190;14
191;2
192;2
192;1
197;5
198;4
198;5
212;8
213;8
213;5
214;8
215;4
216;11
216;4
238;3
239;3
239;11
217;4
218;4
218;10
236;19
237;19
237;1
237;4
219;14
220;14
220;5
226;5
227;8
227;14
227;5
232;1
233;19
233;1
234;3
235;3
235;4
240;16
241;1
241;16
249;13
247;18
248;18
248;12
250;13
250;1
251;21
252;1
253;21
253;1
254;4
255;3
255;4
256;21
257;1
258;21
258;1
259;23
260;11
260;23
261;3
262;3
262;4
263;1
264;1
265;17
265;1
266;11
267;11
267;1
268;7
269;12
269;7
270;5
271;6
272;5
272;6
273;8
274;5
275;8
275;5
275;6
276;3
277;4
278;3
278;4
279;13
280;13
280;7
281;1
282;2
283;5
284;2
284;8
284;5
285;1
286;21
286;1
287;3
288;4
289;3
289;4
290;3
291;21
291;3
291;4
292;8
293;5
294;8
294;5
295;7
296;18
296;7
297;6
298;8
298;6
299;3
300;4
301;3
301;4
302;12
303;7
304;1
305;2
305;1
306;20
307;6
308;20
308;6
309;3
310;6
311;8
311;6
312;13
313;13
313;12
314;6
315;8
315;6
316;13
317;1
318;7
319;5
320;8
320;5
321;7
322;16
322;7
323;16
324;9
324;16
325;3
326;3
326;4
327;1
328;7
329;16
329;7
330;4
331;3
331;4
332;7
333;1
334;2
334;1
335;5
336;20
336;5
337;3
338;4
339;3
339;4
340;10
341;7
342;8
343;8
343;6
344;12
345;3
346;10
347;5
348;3
349;7
350;12
350;7
351;6
352;2
353;1
354;2
354;1
355;19
356;5
357;19
357;11
357;5
358;8
359;8
359;20
359;6
360;3
361;22
362;3
362;22
362;4
363;18
364;13
365;16
366;18
366;13
366;16
366;7
367;2
368;1
369;2
369;21
369;1
370;14
371;5
372;8
372;14
372;5
372;6
373;4
374;3
374;4
375;12
376;18
376;13
376;16
376;12
377;11
378;5
379;11
379;5
379;7
380;21
381;4
382;21
382;3
382;4
383;8
384;5
385;8
385;1
385;5
386;20
387;20
387;18
387;11
387;14
387;13
387;23
388;16
389;18
389;13
389;16
389;15
389;12
389;7
390;2
391;1
392;2
392;1
393;5
394;6
395;19
